lead1,lead2,time
-0.025057288207682618,0.013420140059176478,0.0
-0.021901189292847012,0.032226441725879976,0.005
-0.02604870299081801,0.039706119123258284,0.01
-0.035923174627868114,0.03671011779888947,0.015
-0.027111558813346467,0.033102284246842736,0.02
-0.014820010966808185,0.03952002924482167,0.025
-0.014089399302612911,0.05494878147428046,0.03
-0.002449717494124065,0.05808636458111011,0.035
0.017845660112756043,0.0497353576203833,0.04
0.028624256288212174,0.055808227629682,0.045
0.03745342629234473,0.06574817187853986,0.05
0.040681676346924815,0.06048119245845519,0.055
0.03653581467836674,0.0630144223752471,0.06
0.047816121353100344,0.07579251369597632,0.065
0.05817704681628915,0.07481790110137414,0.07
0.04184725698614264,0.0799284339893671,0.075
0.03510712805076496,0.09967287671728303,0.08
0.049030574007624554,0.09493903558183067,0.085
0.04266421189552795,0.0758107030879088,0.09
0.029730553140853735,0.07419836859808997,0.095
0.03387928409542086,0.05787010379063235,0.1
0.02173807833899225,0.022476421208882755,0.105
0.0008960110077788597,0.01401851435245275,0.11
0.006882371047917267,0.01042340709232534,0.115
0.006981465445670117,-0.01675792232074988,0.12
-0.012558647243979412,-0.020908101954896813,0.125
-0.006651283779157943,-0.0019422137799270972,0.13
0.017272055699699435,-2.4215808998622766e-05,0.135
0.029192951931690716,0.0180943365379537,0.14
0.04452735848898167,0.04785772632218964,0.145
0.059280043867232415,0.01482001096680808,0.15
0.0660861189563977,-0.03845134873538813,0.155
0.09571637120635242,-0.045119674676109806,0.16
0.13135809165096607,-0.1106132318579599,0.165
0.1288514405304865,-0.2855392189209516,0.17
0.10594419582227496,-0.39755956172088225,0.175
0.06619333402013888,-0.3506618622856711,0.18
-0.015013522735768624,-0.254967906730838,0.185
-0.08888153426424605,-0.17858630628978098,0.19
-0.1087218806495499,-0.09749709741927798,0.195
-0.10824342865426159,-0.035048156022822345,0.2
-0.10300463250598124,-0.014035346619368816,0.205
-0.08971917659167422,0.007106940899144164,0.21
-0.09299699925762175,0.04105836419065295,0.215
-0.09037006928728734,0.05001667243425127,0.22
-0.055258297409588826,0.034367015479794025,0.225
-0.03828735807242427,0.031292943447958466,0.23
-0.04551713332899264,0.04294513667642186,0.235
-0.026235025240831777,0.04430322677309363,0.24
-0.008766855923105405,0.03884670980066157,0.245
-0.016031708142125775,0.04544007660378063,0.25
0.0003768258828990359,0.057126075360193235,0.255
0.02015424888685796,0.06543950877292153,0.26
0.006822529282419022,0.08088935536299477,0.265
0.016147122535120396,0.09577092929142061,0.27
0.04446003290042434,0.09386006945645138,0.275
0.026616228380375074,0.09092171468591159,0.28
0.005792647313150401,0.09555814462415205,0.285
0.01887514934371148,0.0863474666067041,0.29
0.006168063515913281,0.06828044102419893,0.295
-0.019967305802690957,0.06472301999543274,0.3
-0.015581026308138379,0.06560025017190772,0.305
-0.026203189447346495,0.05640246381201703,0.31
-0.0451390232659417,0.041220585507708116,0.315
-0.022829710456932953,0.021237061451498295,0.32
-0.020578995513837302,0.010749773930934648,0.325
-0.06132861539212524,0.020422333600017033,0.33
-0.05962876752310519,0.015130399941294911,0.335
-0.037405780317434134,-0.01612607847411229,0.34
-0.06213825335223964,-0.020980693342994898,0.345
-0.07417268917824794,0.004605037859017124,0.35
-0.05109125871886158,0.00574706491774178,0.355
-0.056015091646527404,-0.013011096686209547,0.36
-0.06062353879006783,-0.012523735696569373,0.365
-0.03243328047898847,-0.0032678813571519385,0.37
-0.03197152142846127,-0.0007015115797927139,0.375
-0.051435721636294084,0.0011538365987583611,0.38
-0.03641524025295517,-0.006743391928347064,0.385
-0.0248246691336553,-0.022024802867868606,0.39
-0.036003889856446175,-0.022891885796056572,0.395
-0.024700018278013536,-0.014820010966808171,0.4
-0.006112542424624091,-0.007922020046327288,0.405
-0.0050497432773671524,0.008570111767366892,0.41
0.00740645919830365,0.02408452367798035,0.415
0.020032092464376004,0.020855390533695048,0.42
0.011737441897198338,0.012901370697206227,0.425
0.01888846644225481,0.007176525320967987,0.43
0.03988116438612067,-0.0012185874107458602,0.435
0.03774390909019775,0.009293696346941023,0.44
0.03763904920154465,0.04075714956801185,0.445
0.058218096840156344,0.05366721353621615,0.45
0.06381976698091867,0.049539383017828134,0.455
0.055091414296284544,0.0697856013623334,0.46
0.05534551887766369,0.10670535310000652,0.465
0.050178236591023176,0.12330308248620003,0.47
0.03761563449873204,0.12131089640163295,0.475
0.03414816846699175,0.11671978132015448,0.48
0.02745512079504021,0.10997671460391661,0.485
0.011414651101235044,0.10509008988264203,0.49
0.004581201595945454,0.10270113802917473,0.495
0.005673218762681534,0.09032540326043605,0.5
7.659880396679254e-05,0.06930976351497584,0.505
-0.011362670123701697,0.052521973274195756,0.51
-0.02160640432531996,0.03710358002125438,0.515
-0.027703505251479604,0.021733686477537588,0.52
-0.034580025589219,0.019760014622410803,0.525
-0.045637108169307175,0.02576731858278262,0.53
-0.04943757983926815,0.021293195336352846,0.535
-0.04478851481966022,0.014914339445608504,0.54
-0.046334346224289585,0.015524273470007184,0.545
-0.04986336641644337,0.0043770314182721825,0.55
-0.04900306933945269,-0.013550257005350537,0.555
-0.05296433696811755,-0.006903354501754035,0.56
-0.053518970187111055,0.012587789647257618,0.565
-0.047992151732779785,0.013086546123017252,0.57
-0.05742698776541732,0.006655544173542617,0.575
-0.06371601292872853,0.010237339118396612,0.58
-0.04112996376382275,0.015315597995879823,0.585
-0.024865021599173226,0.0285139554711921,0.59
-0.02082743587785866,0.057382056690515805,0.595
0.015216401419872983,0.08042124317125438,0.6
0.05585901722516106,0.08214769739724888,0.605
0.06292014582010003,0.06441179589587753,0.61
